,text,polarity
1917,i do have to say that at first listen yunhos raps gave me that wtf feeling but after listening a couple times im determined to learn them,POSITIVE
1918,i go to the range i feel like im like russell crowe in robin hood or merida in brave,POSITIVE
1919,i feel fucking terrific after,POSITIVE
1920,i continue to add more so please feel free to explore and let me know what you think,POSITIVE
1924,i feel that the most talented of illustrators designers are ones that know how to get an idea across without the trappings of crosshatching and lensflares on everything,POSITIVE
1925,i feel very privileged not only in being able to share in her artistry but knowing she has my back,POSITIVE
1926,i remember feeling as if i didn t belong and that i wasn t smart enough cool enough or even young enough,POSITIVE
1928,i asked darren about it when he got home as i was feeling a bit curious even though it didnt really matter and it was really none of my business,POSITIVE
1930,i feel hopeful and will do my best to give it a go next week despite having dozens of final assignments to mark,POSITIVE
1931,when my last years second semester results came through i was ecstatic,POSITIVE
1933,i feel glad i can still teach him at home myself,POSITIVE
1934,i find myself whinging about the temperature every day at the moment but it does feel ridiculously hot,POSITIVE
1935,i feel more sociable these days,POSITIVE
1938,i can t hate too much because i feel like she s looking pretty damn flawless in these pics,POSITIVE
1940,i could feel the radiant heat of emanating from her naked sex reaching longingly for the probing tip of my hardness,POSITIVE
1941,i know exactly how put out you are and feel like it is only really acceptable to foist that inconvenience on family,POSITIVE
1944,i have to say it is making me feel very tender inside like a wound that has scabbed over on the surface but is still raw and unhealed underneath,POSITIVE
1945,i tween sat for my moms boss year old and year old boys this weekend id say babysit but that feels weird considering there were n,POSITIVE
1947,i felt a very distinct feeling that told me everything would be ok and that all things would ultimately turnout for my good,POSITIVE
1954,i help busy overworked mainly but not exclusively women go from feeling overwhelmed frustrated and generally pissed about their health and appearance,POSITIVE
1956,i feel really comfortable in them,POSITIVE
1959,i feel more like the manager everyday and i feel more respected by the day as well,POSITIVE
1961,i want to at least feel more intelligent and i believe becoming a well read person myself will help,POSITIVE
1962,i just feel that as my reader and loyal subscriber you need to be informed about how great butterfly marketing really is and not be taken for a ride so i can bank some chunky commissions,POSITIVE
1967,i just don t feel thankful rel bookmark some days i just don t feel thankful posted on a href http babychaser,POSITIVE
1969,i made sure to go all out for him since i was feeling him and i liked how we complimented each other,POSITIVE
1970,i write when i am feeling happy and childish,POSITIVE
1972,i feel like i am being held firmly in loving arms surrounded by a wide circle of people who are not going to let me fall,POSITIVE
1973,i just feeling particularly nostalgic that day,POSITIVE
1976,ill be thirty next year and im feeling positive about my life and the choices im making and the things that im putting out there into the world,POSITIVE
1977,i feel a creative mind brings more diversity and new thinking to any job,POSITIVE
1978,i feel naughty by ratbagx,POSITIVE
1979,i guarantee that if im dizzy or feeling like im going to vomit for months i am not going to be a very pleasant person,POSITIVE
1980,i smile people smile back and tell me they feel a little cheered up seeing me being jolly in the morning,POSITIVE
1982,i feel satisfied and not necessarily just forget the pain that she felt,POSITIVE
1984,i was still looking out for good causes that i feel passionate about to volunteer and again last year when a friend introduced me to an organization that packs food rations for needy families,POSITIVE
1985,im feeling a little tender in my wood works,POSITIVE
1988,im trying to go on how i feel hopefully next time i brave the scales i will have been good for a few days and will see a nicer number,POSITIVE
1991,i feel so clever to have done that,POSITIVE
1993,imdoing good and its almost strange to feel carefree,POSITIVE
1996,i absolutely love this skinny fiber it is doing wonders for me and i feel fabulous,POSITIVE
1997,i feel as if im in some strange catholic vortex,POSITIVE
1998,i have a feeling that many of you will be surprised to learn that after nearly years it s time for me to say goodbye as your guide to entertaining,POSITIVE
1999,i am so connected with families that are not my own and i love them so much and so i feel blessed to find a family to be connected with on so many different levels,POSITIVE
2006,i feel shocked have i become that old,POSITIVE
2007,i hate the way mom and dad are to her i hate the neglect of her feelings and her needs as an intelligent child that are rampant in their parenting style,POSITIVE
2012,im not feeling hot and bothered but i let him hold onto my body as if hes ready to dine ive told you that i would find no better lover when hes kissing my lips its yours i think of i need to imagine you in order to get off,POSITIVE
2013,i feel like as a creative professional you need to have that unpressed creative outlet to get re inspired,POSITIVE
2014,i am feeling increasingly hopeful,POSITIVE
2015,i walked out of there with a better understanding of what was going on in the experiment but also feeling a little stunned that i had only one equation to describe all of this,POSITIVE
2016,im feeling at my creative best rather than that of a student who has a deadline to meet,POSITIVE
2021,i feel assured that it was the right answer,POSITIVE
2022,i feel all will be ok and that the blessings pronounced upon me will be realized in accordance to my faithfulness,POSITIVE
2024,ive been struggling lately whenever i feel like saying something between having a reaction to myself of oh julia youre so clever and witty,POSITIVE
2025,ill be honest i feel almost as relieved now as i did when i first found out i was getting book published,POSITIVE
2026,i want to say that i feel as though i dont play a really vital role in anyones life with the exception of one friend,POSITIVE
2029,i feel this triumphant pride as i stand at the counter like i am achieving some high level male honor because i am a female doing this a redhead to boot,POSITIVE
2032,i feel their energy i feel a joyful sweet enthusiasm for life,POSITIVE
2036,i want to share about a wonderful organization that i feel extremely passionate about,POSITIVE
2038,i feel less intelligent after watching this,POSITIVE
2039,i feel like getting away from all the friendly tasty goodness that seems to abound in santa cruz including the unseen ambient pot smoke that always makes me so lazy i swear when i visit the laid back town a visit to the university s university of california santa cruz renowned a href http www,POSITIVE
2040,i feel so special amp blessed to have my caring amp creative family,POSITIVE
2041,i love lots of different kinds of sports and love hanging out with my friends in my free time i also have an unhealthy up session with greys anatomy im feeling ecstatic about being in ty,POSITIVE
2044,i can remember what it feels like to be enthralled by him i cant actually feel it,POSITIVE
2045,i feel confident that my issue is being regarded with the highest sense of urgency,POSITIVE
2048,i do struggle i dont get anxious instead i feel that much more determined to succeed,POSITIVE
2051,i didn t have feelings for them but seriously after a while how do you feel love for someone who treats you with such disregard i was faithful and loyal,POSITIVE
2053,i got my eyebrows waxed the other day and i feel glamorous,POSITIVE
2055,i will continue to struggle with experiencing normal feelings and the sense theyre chipping away at precious time,POSITIVE
2056,i was feeling like garbage all day allergies but im glad i didnt last minute cancel,POSITIVE
2057,i never feel that popular,POSITIVE
2058,i want is to be happy and to feel loved,POSITIVE
2060,i once knew a quaker who announced quite excitedly that he was feeling absolutely wonderful because for a period of about a fortnight nothing much had been happening in his brain,POSITIVE
2063,ive been reading again and feeling pleasantly surprised to find my reading list contained four similar books a fine chance to compare and contrast differ,POSITIVE
2064,i believe is based on greed has nothing to do with how i feel about my beloved country,POSITIVE
2070,i never feel ecstatic or bouncy or anxious,POSITIVE
2071,i feel so accepted,POSITIVE
2072,id love to hear how any of you handle these types of situations as well so if you have any stories of your own feel free to share,POSITIVE
2073,i had no idea that it could feel be a little love for each other and i hope that the week is over and so that you can hop again blessed with the kleinkinders,POSITIVE
2074,i am months into the medication and i feel fantastic,POSITIVE
2077,i used to wake up feeling horny sometimes and have to finish myself off before i got up,POSITIVE
2085,i love comments so feel free,POSITIVE
2089,i feel that the leader i admired is being selfish,POSITIVE
2094,when my boyfriend last told me he loved me after i gave him an impulsive kiss,POSITIVE
2098,i could look up the coordinates of the cave but im feeling adventurous and decide to find it myself from tibris directions,POSITIVE
2099,i don t discuss even my feelings for beloved with anyone,POSITIVE
2100,i managed to take some photos today of my outfit which did feel rather strange especially as i havent taken any for such a long time,POSITIVE
2101,i feel passionate about these issues i want to see others become as passionate and the blog hop becomes fun for me in spite of how much work goes along with it,POSITIVE
2102,i feel like now i have the opportunity to become smart to embrace knowledge and really learn about everything i have daydreamed of learning,POSITIVE
2104,i feel like more people should be brave enough to speak up against the non standards of the self publishing market because all the authors i know work so damn hard and they deserve better,POSITIVE
2105,i feel that youve got to be fearless as an artist because there have been times when i think im the only one who believes in me,POSITIVE
2107,i feel like im in some weird dreamworld where i can do absolutely anything,POSITIVE
2109,i suspect i was also dealing with caffeine withdrawal but i think i have now figured out a system of eating which works well for me and i feel fab,POSITIVE
2110,im feeling really weird,POSITIVE
2112,i honestly feel at heart we should be faithful to each other if its yo girl,POSITIVE
2114,i wanted everyone no matter what their lifestyle to feel a little bit glamorous,POSITIVE
2115,i am attached to him and feel loving feelings toward him and miss him get homesick for him,POSITIVE
2116,i was going for a sort of handheld cam feel lol that i was just delighted,POSITIVE
2117,i feel like you will be completely satisfied with the results,POSITIVE
2119,i was kinda laying on my disappeared arm playing on the computer then i got up to turn eat dinner but on the way adjectives of a sudden this wierd feeling in my collar chest felt like a bounce of electricity shocked me or something then my left paw,POSITIVE
2120,i feel like my valuable college years are being wasted in daily routine,POSITIVE
2122,i did sleep last night however but woke up at am feeling splendid other than sniffles and itchy throat and just wasnt sure how i could be so awake,POSITIVE
2125,ive been feeling very mellow this evening,POSITIVE
2129,i am feeling so much love for my own mother and appreciative of all that she has done for me,POSITIVE
2131,i feel so contented just by relieving the scene in my mind,POSITIVE
2132,i think one asset that makes you guys stand out from other bands is that your musicianship especially on the latest record hits the next level and i feel this is why you are accepted in so many genres especially the hardcore scene,POSITIVE
2135,i may feel relieved or satisfied but i am probably not having fun,POSITIVE
2138,i questioned myself wondering why didnt i feel jubilant,POSITIVE
2139,i may resurrect when im feeling more generous i did an all too lengthy series on a history of my celebrity crushes,POSITIVE
2140,im old enough that graduation and yk feels like just yesterday i find myself a bit stunned by this,POSITIVE
2142,i am small people think i should feel amazing in a bathing suit,POSITIVE
2145,i want to feel all year long that lovely warm tingle that october brings,POSITIVE
2148,ive had little movie star tears come down but the way i feel is not relieved by that,POSITIVE
2149,i am a mother though most days it still feels strange to realize i am one,POSITIVE
2151,i feel like i am so devoted to so many other things that my time is being split up weirdly,POSITIVE
2152,i was in sams angsty headspace jensens voice singing bon jovi was making me feel horny as hell,POSITIVE
2158,i posted about feeling like a super mom because i managed to care for myself my children my fiance and my house for one day while working and on little sleep,POSITIVE
2161,i feel like i smell pretty after i use it,POSITIVE
2162,i just feel like i m being a total pushover at the moment which anyone who knows me knows that i m not a pushover generous and willing to give the benefit of the doubt but not a pushover,POSITIVE
2164,i no longer feel happy to score well,POSITIVE
2165,im feeling more comfortable in the water,POSITIVE
2166,i feel poles are most useful in pairs all price and stats in this review are for two poles,POSITIVE
2167,i had grand plans of baking through my two days off but i mostly ended up just curled up on the couch pouting about not feeling well,POSITIVE
2171,when i saw my family after a separation of one year,POSITIVE
2180,i really feel amazed on how they can do that,POSITIVE
2182,i am feeling it and it s really ok,POSITIVE
2183,i got to chat with rustie dean from my hometown moose jaw and everyone made me feel so welcomed and comfortable,POSITIVE
2184,i actually feel like everything is going to be ok,POSITIVE
2187,i can stay awake whole night feeling all energetic and stuff,POSITIVE
2189,i feel fooled played and now relieved,POSITIVE
2190,i feel stunningly elegant tonight darling,POSITIVE
2194,i can feel what hes feeling but not quite because this is his own beloved brother,POSITIVE
2195,im still feeling a bit stunned by an experience i had tonight while watching a movie,POSITIVE
2196,i look forward to continuing this challenge and feel so appreciative for the boost to get my nutrition on a healthy track especially for my pregnancy the most important time in my life to be eating healthy,POSITIVE
2197,ive decided that the exes you had a real strong feeling whether love or just extremley caring you cant be just friends with them because it will eventually blow up in your face,POSITIVE
2198,i love the most about them is the slight cat eye shape of the lenses they instantly make me feel likeaudrey hepburn in breakfast at tiffanys so glamorous and of course that gorgeous case doesnt hurt either,POSITIVE
2202,i didn t want to leave but i didn t before i thanked her parents for trusting me to spend the night and that it made me feel like they respected me,POSITIVE
2203,i listen to it a feel peaceful and happy and who couldnt use a big dose of that in their lives,POSITIVE
2204,i amos does such a beautiful job retrofitting cohens song and really his basic arrangement too with her own piano work that it feels to me like more of an artistic effort than merely paying homage,POSITIVE
2215,i wanted it to feel special for all the guests that alise and jeremy chose,POSITIVE
2216,i am feeling overwhelmed by daily responsibilities by expectations of my family and job by the demands on my time by my physical tiredness by the feeling that my burdens will overtake me by financial hardships by,POSITIVE
2224,i should be feeling eager to leap into stash of fabric and make something,POSITIVE
2225,i need to feel like im accepted and that i matter and that im loved,POSITIVE
2226,i feel absolutely safe a,POSITIVE
2227,i feel so honoured and luckily for me i get to post cards,POSITIVE
2232,i began to feel curious and tried to percieve who i was beneath my pride and why i am who i am,POSITIVE
2233,ive had a feeling of being satisfied with the performance of my car,POSITIVE
2234,i was overwhelmed by the feeling of being impressed i think these kids theyre years younger than me i can call them kids right,POSITIVE
2236,i just got really crunk about a situation and now i feel like i have to write to calm down lol,POSITIVE
2240,im feeling very hopeful about that and this seems like a good time for me to switch doctors too,POSITIVE
2242,i have a feeling this month is going to have some damn cool things in store,POSITIVE
2243,i feel blessed and privileged to have known you loved you and to know that you are and always will be my child,POSITIVE
2248,i was feelings amazed imagining how would she feel when she will get this,POSITIVE
2250,i ask you when folks park why do they feel it is smart to park with only or inches separating your car from the one in front or behind you,POSITIVE
2251,i present two photos of myself side by side and in one photo i remember feeling cute that day,POSITIVE
2253,i feel ive answered those questions for her and shes pretty trusting for the most part,POSITIVE
2254,ive been more vocal about how i feel what i think and am convinced that i will not let anyone walk all over me or let my opinion not matter,POSITIVE
2256,i plodded through this taking far too long but feeling rather virtuous,POSITIVE
2257,i feel like he had a really gentle hand on the recording process,POSITIVE
2260,i now feel like im finally in a position to decide whether to indulge in joyful jubilations and claim my free chocolate bar,POSITIVE
2264,i feel like i should mention that i wasnt fond of the damn shapeshifter in the first place,POSITIVE
2265,i have a feeling that the smell is not going to be pleasant,POSITIVE
2266,i feel like i ought to be working on casual activism but that construes something that is potentially stressful so there wont be any update tomorrow,POSITIVE
2267,i am not sure if we should buy more but my hubby and i are feeling pretty impressed,POSITIVE
2270,i really feel that im the least talented person on the stage but somehow god uses my talent for his glory,POSITIVE
2271,i feel if not resolved soon enough will have a damaging effect on all the hard work my girlfriend and i have put into our relationship,POSITIVE
2272,i feel rich indeed,POSITIVE
2274,i guess the good news is i feel calm now i think i just needed to get this off my chest,POSITIVE
2275,im busy i just bask in that fabulous overwhelming feeling and when i have really nothing to do i just live my life as a cat would just caring about sleeping and eating,POSITIVE
2277,i feel that things i learn in my course so useful right now,POSITIVE
2278,i remember feeling so calmed and at ease because even though we had just a few minutes of good light i felt your confidence and determination to get the best possible shots and that made all the difference in the world to me,POSITIVE
2282,i now don t want to feel slutty,POSITIVE
2284,i am wishful of gaining a feeling of responsibility from the planning of this event as well as commitment,POSITIVE
2285,i enjoyed the feeling of belonging and the sense that i was recognised and somehow valuable,POSITIVE
2287,im tired but i feel fabulous and i am so freaking proud of myself at this moment for continuing to push myself to train and to get so far out of my comfort zone,POSITIVE
2288,i actually feel hopeful today,POSITIVE
2290,i feel like if i had a job worth caring about i wouldn t be so shifty,POSITIVE
2291,i feel the touch of your sweet hand,POSITIVE
2292,i understand that any of my extremely positive attributes and there are some are overshadowed by my weakness and subconsciously some people are wired up to feel superior to others and thereby treat them differently,POSITIVE
2294,i am especially interested in hearing your thoughts or perspective on what you read about how men and women feel respected or lived,POSITIVE
2295,i feel like ive been held back a lot this summer with soccer and my mom not trusting me,POSITIVE
2296,i remember feeling surprised that i had the option not to listen,POSITIVE
2299,i leave the nursing home each week feeling so joyful and ready to come back again,POSITIVE
2304,im going to go do my anti dance flow now and if i feel eager since ill be on the mat anyhow i might even do a few circuits of grow a spine,POSITIVE
2305,i feel only love yesterday it brought tears to my eyes to hear him say that today i realize that it was why it was so special to be with them i was surrounded by love,POSITIVE
2306,i have a serious question for some of you why do you feel it is ok to support a healthcare plan that tramples on anothers beliefs,POSITIVE
2307,i cant explain how i truly feel but some words that encapsulate some of my me ness currently ecstatic happy bouncy relieved energised in a mood to dance wanting chocolate wanting to socialise right now smiley and about here i lose words that express but bah so emo,POSITIVE
2310,i watched firefly and serenity again lately as id given up on it with mixed feelings before and it seems to be quite popular,POSITIVE
2315,i feel this helps create rich texture and a touch of mystery to an outfit,POSITIVE
2316,im feeling strong healthy motivated and just overall positive about everything,POSITIVE
2325,i achieved a specific athletic goal in what i feel is pretty fine form,POSITIVE
2327,i cannot thank you enough for always finding a way to make me feel better,POSITIVE
2328,i am now feeling delighted to have a bigger definition of magic,POSITIVE
2329,im feeling so overwhelmed,POSITIVE
2331,i get a little twitchy when i feel like someone is depending on me and i have to have a flawless job done in the end,POSITIVE
2333,is only friend made yuuki feel special,POSITIVE
2335,i just feel more dazed and alone in the end,POSITIVE
2337,i will remember you as someone who i could feel so comfortable around,POSITIVE
2342,i feel blessed that i am free to be me,POSITIVE
2343,i feel just as determined as ever if not more,POSITIVE
2345,i am all about empowering women i truly feel that they are the more intelligent sex but what is enough,POSITIVE
2347,im just thinking back and feeling utterly amazed and grateful that we live in a time when four people who needed a family could find each other despite being thousands of miles apart,POSITIVE
2351,i feel so impressed with ia,POSITIVE
2358,im also feeling a gorgeous nail of the day coming up with a concoction of these three when ive soaked my pale bod in some fake browness so watch out for that coming up very soon,POSITIVE
2360,i resent people shaming me and telling me how to feel a more productive alternative give me the facts and let me think for myself,POSITIVE
2361,i was feeling pretty triumphant i had held a little conversation with the cashier and she didn t realize i was deaf,POSITIVE
2364,i could feel was love and joy and pride when i looked at those two sweet little faces,POSITIVE
2366,i try to only buy fabrics that i would use in a project or that i feel are really fab,POSITIVE
2368,im hurting because i feel like my friends are no longer supporting me just because im struggling,POSITIVE
2370,i dont sleep more and i am still waking a am but what this does is help me get off to sleep quicker and i feel like i am going into a deeper more relaxed sleep,POSITIVE
2371,i always feel quite smart when wearing this,POSITIVE
2372,i feel sure a new necklace will come from this afternoon of beach combing,POSITIVE
2374,im feeling naughty i like to add a little bourbon,POSITIVE
2375,i feel relaxed and comfortable,POSITIVE
2376,i still feel fine but i can tell i am getting weaker,POSITIVE
2378,im postponing feeling virtuous about this labor,POSITIVE
2381,i believe are sincere on both parts but we have seen time and again that logan probably feels much more devoted to her than she does to him,POSITIVE
2385,im feeling generous ahahahaha im so morbidly funny,POSITIVE
2386,i wish to feel your tender bites,POSITIVE
2389,i murakami but the first that i feel captures what makes him so beloved by his fans,POSITIVE
2391,i want something that is personalized where they can appreciate and at least feel that i am for real sincere in giving them,POSITIVE
2392,i enjoy all of these aspects of my life it is hard at times to not feel completely overwhelmed,POSITIVE
2393,i feel like a child who got one lick of the most delicious lollypop ever,POSITIVE
2397,i feel like the thing that i call an artistic tendency in myself is really just laziness and narcissism justifying and strengthening each other,POSITIVE
2399,im a huge fan of both london grammar and disclosure so in my eyes this is just a perfect collaboration and it definitely helps to make me feel creative,POSITIVE
2407,i hope that one day they feel as strong and optimist as i do right now in my life,POSITIVE
2412,i ate great and whats even better is that i feel terrific,POSITIVE
2416,i feel a lot more confident about the path ive chosen,POSITIVE
2418,i feel very blessed this year my daughter and her family will be with us and my sister from california is coming over this year too,POSITIVE
2419,i sat silent and open mouthed as he rattled off the reasons why he loved me the special times we had shared which had confirmed his feelings and was amazed that they were the same reasons and times together that made me realize how much i loved him,POSITIVE
2421,i still feel innocent and small,POSITIVE
2423,i feel like i should continue with the bridge lessons since continuity is going to be vital if i m to learn this game,POSITIVE
2424,i feel delighted to share it,POSITIVE
2426,i feel which is glamorous and my little lacy bottoms have a tiny g string underneath,POSITIVE
2427,ive talked with her telling her that sometimes i feel shes not sincere,POSITIVE
2428,i returned home feeling invigorated and wanting more,POSITIVE
2431,i was planning to make cookies this evening but i am not feeling so good so i will do this tomorrow,POSITIVE
2433,i also feel more welcomed at lush than any other job that i have had,POSITIVE
2435,i am still feeling passionate progressive and motivated but i am no longer trying to do everything and anything that i have never done before,POSITIVE
2436,i feel now i am not giving all of me to christ and i want to be devoted,POSITIVE
2437,i feel like a babysitter of year olds who act like naughty year olds,POSITIVE
2438,i feel sort of dazed and cross eyed,POSITIVE
2440,im wanting you to look at me that it makes people feel ok to ask questions,POSITIVE
2441,i feel so honored to have been a part of this year,POSITIVE
2443,i feel can be really popular in the underground if they get themselves out there and thank god for this i m looking at you toby and tunji,POSITIVE
2445,i feel ecstatic relived and most of all from the bottom of my heart truely grateful to,POSITIVE
2446,i am excercising or running it still feels tender even almost like it is throbbing,POSITIVE
2447,i feel very confident today on my front nine,POSITIVE
2450,i am i feel like it s important to keep on taking a critical look at ideas like these to make sure that they stay grounded in reality,POSITIVE
2452,i feel so elegant so marvelous so irresistible in this frock that i will endure the discomfort,POSITIVE
2454,i have lost kg and feeling fab,POSITIVE
2457,i hope that this does not deeply affend anyone but if it does than maybe you know who i feel now after years of being a faithful catholic to be told you are going to hell anyways because of what you do in the privacy of your own home,POSITIVE
2459,i remember is the feeling of falling and miyavi s shocked face,POSITIVE
2460,i am suddenly feeling very energetic,POSITIVE
2462,i feel like ecstatic i feel joy i feel love and particularly all the devotees have come and that mood is also eagerly moving moving and moving said andri a visitor from abroad,POSITIVE
2469,i dont know i feel all mellow and normal and good,POSITIVE
2470,i hope he makes some friends and feels welcomed,POSITIVE
2474,i feel more satisfied with what i eat i feel full longer and i dont feel like snacking later,POSITIVE
2475,i miss the way he made me feel im at a point now where ive accepted that he betrayed me and i can never go back to him,POSITIVE
2476,i feel content without knowing the rest of their story,POSITIVE
2483,i feel very strongly about supporting hence why we are running the mile,POSITIVE
2486,i feel it is my solemn duty to share this divine knowledge of mine in order that others may benefit from it s truth and beauty and render their world just a tad closer to thearchitecturality that utopian perfectly set garage society to which we all strive,POSITIVE
2489,i admit that in the past ive done a lot of time scoffing and feeling superior to christians,POSITIVE
2490,i love doing kim kardashion make up tutorials i always feel so glamorous with all that make up on,POSITIVE
2491,i feel glad that justice will be served west said,POSITIVE
2492,i feel relieved because finally i can move on without a single tear shed,POSITIVE
2494,i feel like im back in my element and very pleased to be surrounded by adorable tiny garments,POSITIVE
2497,i feel like a tranny a lot of the time a title blake lively feels like a tranny href http www,POSITIVE
2499,im feeling so invigorated and ready for whats ahead and very excited to share all that information with all of you,POSITIVE
2501,i didnt feel there was anything special about it,POSITIVE
2503,i feel like i have to be a perfect person because trust me i dont want to be perfect,POSITIVE
2506,i will adjust to it but for now it feels so strange,POSITIVE
2507,i remember feeling excited about that particular day because i considered myself a grown up and woop,POSITIVE
2508,i feel entirely free to express the way i feel about surroundings my life and the myriad of experiences that continue to make me who i am,POSITIVE
2509,i could prepare a bunch of my own dishes made in the safety and control of my home so i can at least feel safe in what ive prepared,POSITIVE
2511,i was feeling strong and ready,POSITIVE
2513,i feel more truthful than usual these days,POSITIVE
2514,i mean every time i have a negative thought or feeling or reaction i am going to consciously replace it with a positive one,POSITIVE
2515,im feeling festive tonight,POSITIVE
2516,i also feel as it has helped me become an intelligent individual,POSITIVE
2517,i watch her silently feeling dazed from my memory loss,POSITIVE
2519,i feel so blessed just to be her mom,POSITIVE
2520,i feel i am really teaching and students get some lovely finished pieces,POSITIVE
2521,i get the feeling shes amused by all of this,POSITIVE
2524,i sit down to author this letter i feel a little surprised that an entire year has already passed us by,POSITIVE
2527,i feel about watching romantic movies,POSITIVE
2528,i feel very complacent with my experiences here in this program even if i sometimes find the concepts we ve done to be big drags there s still no room for scrutiny,POSITIVE
2535,i stopped feeling as clever as i had felt having no memory of her having done so,POSITIVE
2537,i feel one with everything i meet even here when i return to this body out with you my beloved father indeed am beginning to realize the meaning of that unearthly love which i have sought for so long,POSITIVE
2538,i like them because i feel working on these puzzles helps him improve his fine motor skills and teaches him how to follow a set of instructions in order to make something,POSITIVE
2541,i love the liz earle moisturizer it does really leave the skin feeling lovely but i think i will purchase the lighter version next time,POSITIVE
2543,i can recall feelings of the time we were in coolum whilst laying in my own bed the other day and it s funny how he s calling me and we are speaking everyday now,POSITIVE
2545,i havent felt much like talking nothing bad just not been feeling very sociable in some ways,POSITIVE
2546,im not feeling outgoing and am in no mood to put the game face on and smooch,POSITIVE
2548,i still feel like a kid eager to blow the candle open gifts and all that good stuff,POSITIVE
2549,i love the look of the black and i feel like that would be the smart choice but im kind of drawn to the rich blue or grayish blue,POSITIVE
2551,i feel like its important to vote on all of the local stuff,POSITIVE
2552,i was just randomly talking about it and how i found the once more with feeling cd and listened to it and was quite eager to watch the show again,POSITIVE
2554,i feel virtuous for a few seconds when i reflect that i did spend something when i went to the swimming pool working towards personal fitness yes,POSITIVE
2555,i cant tell you in words how much i feel honored that my photo made it into this gallery,POSITIVE
2557,i was feeling so carefree and wanted to go and have some fun,POSITIVE
2558,i think of or feel gratitude i think of my kind and gracious heavenly father,POSITIVE
2562,i feel it s my job to give him all the tools he needs to be a successful person,POSITIVE
2567,i have some hard core problems and if i tell people about them they will feel sympathetic and consequently they will feel obligated to try to help,POSITIVE
2568,i feel divine and strong,POSITIVE
2569,i hope that you feeling fine well i wanna say happy birthday and that you realize your dreams and you always be happy because you are a perfect person and you deserves the best,POSITIVE
2570,i feel an inner conflict between my sense of duty and my desire to play i hadn t entertained thoughts of sex,POSITIVE
2577,i feel i know myself well enough to know what i will or will not do can or can not do what can be tolerated or not,POSITIVE
2583,i feel inspired to make some of the christmas presents im giving away,POSITIVE
2584,i woke up feeling positive i was totally in the mood for doing this and this evening i feel the same i had a banana shake for breakfast a chocolate shake for dinner and a sunday roast for tea,POSITIVE
2590,i feel that even though some bloggers are popular within one clique there are twice the amount of people who are jealous of their success but chooses to kiss their butt to fit in and triple who disrespect them for their pompous notoriety,POSITIVE
2595,i no longer have summer vacation like when i was in school summer still has a feeling of relaxation and being carefree,POSITIVE
2596,i feel ok lol,POSITIVE
2602,i feel we will all be more compassionate gentle and understanding humans as a result of this trial,POSITIVE
2604,i feel amused when i hear my neighbour use the word muze instead of mujhe and hey kay becomes zay kay,POSITIVE
2608,i feel absolutely amazed at the unfolding story of my life,POSITIVE
2610,i met up with some friends to watch the hockey game and headed off to a local pub called pig and duke ate some parmesan truffle wings not sure how i feel about those and some prawn lollipops delicious but terrible name,POSITIVE
2611,im here today after looking at my bank account this morning and feeling shocked,POSITIVE
2618,i feel weird if i just do completely nothing,POSITIVE
2619,im not sure jeremy will be feeling quite so friendly later when luka a href http blog,POSITIVE
2620,i it did not feel the positive contribution of these innovations may still be worth considering the adjustment of the economic and financial structure of the whole society and improve labor productivity,POSITIVE
2623,i feel his loss too chakotay reassured then silently approached her and enveloped her in a hug,POSITIVE
2624,i feel my strengths are that i m very determined motivated in the workout room,POSITIVE
2625,i feel as if i have had enough sleep and have much more vital energy than i have ever had before taking it,POSITIVE
2627,i was fascinated by the ebb and flow of the water and stood there feeling content watching the waves,POSITIVE
2628,i feel that there is a lot of me that would not be accepted if only the emotional side of me is wanted,POSITIVE
2629,ive been thinking about what it is that drives me not only with fashion as pretentious as this is gonna make me sound i am studying fashion design so i do feel its kinda vital to understand what im trying to do there but in life as a whole,POSITIVE
2632,i hate to say it but i felt a tinge of this same feeling last week as i watched my beloved red sox fall to the tampa bay devil rays,POSITIVE
2633,i feel that sweet pang and a desire for adventure and excitement,POSITIVE
2634,i got a feel that the actors were very physically talented and skilled at presentational acting but had done little to no research into the backgrounds of their characters or that of wilder,POSITIVE
2637,i feel less keen about the winston churchill quote really i feel less keen about the winston churchill quote a href http www,POSITIVE
2638,i feel the divine presence merge into mine,POSITIVE
2641,i feel very lucky and it is nice to be able to buy some lovely resources for the little ones i care for,POSITIVE
2642,i feel christmas more special than ever,POSITIVE
2643,i would just outright tell you what the girl book is about but i feel like you guys are so smart and so clever youve probably already formed some sort of idea of the themes and ideas this book is wrapped around,POSITIVE
2646,i feel fabulous about it,POSITIVE
2648,i get this strange feeling that even with people with whom im friendly im some sort of intellectual target which is getting rather annoying,POSITIVE
2649,i feel that being faithful isnt enough in your eyes,POSITIVE
2653,i am feeling so excited for many of the bloggers i follow who are anxiously bearing through a ww of the first few weeks of pregnancy,POSITIVE
2655,i feel very weird about so much of my psychological safety coming from noah providing money,POSITIVE
2657,i feel that the team at target has given me valuable experience and feedback which i will use constructively to help me both within my studies and in the future,POSITIVE
2660,i feel pleased that i will resist it till i get these next four night shifts over with,POSITIVE
2664,i might be afraid to leave the house to nurse in public to commit to a social engagement or to wear anything that makes me look worse than i already feel so in honor of fearless friday i invite our newbie mom readers to do something that scares them,POSITIVE
2666,i expect and i feel content with that,POSITIVE
2668,i wish i did more of because every time i do i come away feeling invigorated and inspired,POSITIVE
2669,i want to feel inspired on the job,POSITIVE
